sid,time,lat,lon,umax,press,u24_past,mov_angle,mov_speed,u_st,v_st,ws_200,owz_500,owz_850,rh_700,rh_925,sph_925
2000245N14157,2000-09-11 18:00:00,25.8,129.5,54.5264,930.0,0.0,5.2204999923706055,7.639019012451172,-3.6269132173978367,2.4346207838792067,4.295341968536377,892.7902221679688,1117.62255859375,98.00001525878906,100.00001525878906,0.01990000158548355
2000245N14157,2000-09-12 00:00:00,26.1,128.9,49.8968,940.0,-4.629600524902344,5.068811893463135,5.327943325042725,0.8769308236929086,3.1923182560847354,12.856513023376465,891.81005859375,1004.1619873046875,94.00001525878906,100.00001525878906,0.020510001108050346
2000245N14157,2000-09-12 06:00:00,26.3,128.20001,44.7528,950.0,-9.773601531982422,5.069392681121826,5.319437503814697,-7.653839698204627,-2.107681861290565,9.521017074584961,836.1497802734375,936.5422973632812,100.00001525878906,100.00001525878906,0.019780002534389496
2000245N14157,2000-09-12 12:00:00,26.7,127.79999,44.7528,950.0,-2.5719985961914062,5.223193168640137,3.796060800552368,-8.976912278395433,2.038471515362079,5.913547515869141,789.6100463867188,967.2824096679688,100.00001525878906,99.00001525878906,0.020190000534057617
2000245N14157,2000-09-12 18:00:00,27.0,126.899994,44.7528,950.0,0.0,4.935074806213379,8.465296745300293,-7.880759019118089,9.13846940260667,3.5510611534118652,605.1400756835938,963.2501831054688,100.00001525878906,100.00001525878906,0.020260002464056015
2000245N14157,2000-09-13 00:00:00,27.4,126.399994,44.7528,950.0,0.0,5.557453632354736,4.958572864532471,-2.8922964242788463,11.842319781963642,6.100001335144043,503.77984619140625,816.722412109375,99.00001525878906,100.00001525878906,0.020890001207590103
2000245N14157,2000-09-13 06:00:00,27.8,125.79999,44.7528,950.0,0.0,5.3589558601379395,6.1621832847595215,-0.7769118088942307,1.5653927142803485,6.818360328674316,553.5601196289062,1015.4401245117188,100.00001525878906,100.00001525878906,0.017170000821352005
2000245N14157,2000-09-13 12:00:00,27.9,125.20001,44.7528,950.0,0.0,4.713613033294678,4.91331148147583,-1.830762423001803,2.2884721022385817,8.947073936462402,423.1427917480469,835.4197387695312,100.00001525878906,99.00001525878906,0.019340001046657562
2000245N14157,2000-09-13 18:00:00,28.0,124.70001,44.7528,950.0,0.0,4.7132110595703125,3.2723429203033447,-0.9422988891601562,4.100009624774639,1.649235486984253,321.6697692871094,656.6801147460938,100.00001525878906,100.00001525878906,0.017820000648498535
2000245N14157,2000-09-14 00:00:00,28.0,124.5,44.7528,950.0,0.0,4.712814807891846,1.6364212036132812,-0.7038368811974158,4.361549377441406,1.6031131744384766,313.7624206542969,461.3423156738281,100.00001525878906,98.00001525878906,0.017680000513792038
2000245N14157,2000-09-14 06:00:00,28.2,124.20001,44.7528,950.0,0.0,5.5610761642456055,2.470492362976074,0.8461614755483774,5.307705805851863,3.2249088287353516,259.2823181152344,317.88995361328125,100.00001525878906,99.00001525878906,0.017640002071857452
2000245N14157,2000-09-14 12:00:00,28.4,124.20001,44.7528,950.0,0.0,0.0,1.8532557487487793,1.1730880737304688,3.311548086313101,3.9999938011169434,333.6025085449219,416.92034912109375,100.00001525878906,100.00001525878906,0.016440002247691154
2000245N14157,2000-09-14 18:00:00,28.7,124.5,39.6088,960.0,-5.144001007080078,0.7197132110595703,4.9325032234191895,5.219237107496995,4.3961651141826925,2.8000030517578125,187.46241760253906,356.39013671875,100.00001525878906,96.00001525878906,0.017110001295804977
2000245N14157,2000-09-15 00:00:00,29.1,125.20001,39.6088,960.0,-5.144001007080078,0.8605389595031738,8.543594360351562,2.2884721022385817,5.20000985952524,7.034912586212158,176.6025848388672,304.1501159667969,98.00001525878906,99.00001525878906,0.01658000238239765
2000248N17117,2000-09-06 00:00:00,17.7,117.600006,17.489601,995.0,0.0,0.0,5.559731960296631,0.1923194298377404,1.1807790902944713,5.503636360168457,70.86236572265625,168.9901123046875,58.00001525878906,87.00001525878906,0.015320001170039177
2000248N17117,2000-09-06 06:00:00,18.2,117.600006,19.5472,995.0,0.0,0.0,3.7065114974975586,2.126932584322416,2.288469754732572,6.140023231506348,4.349964141845703,110.0101318359375,63.00001525878906,88.00001525878906,0.015790002420544624
2000248N17117,2000-09-06 12:00:00,18.8,117.100006,24.6912,985.0,7.20159912109375,5.5255842208862305,7.658851623535156,-3.8076835045447717,-0.27306835467998797,1.7088031768798828,26.059982299804688,28.52252197265625,57.00001525878906,68.00001525878906,0.01299000158905983
2000248N17117,2000-09-06 18:00:00,19.2,116.600006,24.6912,985.0,5.144001007080078,5.052468299865723,5.569264888763428,-3.607685382549579,0.9807774470402644,5.408333778381348,11.012484550476074,62.0423583984375,59.00001525878906,76.00001525878906,0.013900000602006912
2000248N17117,2000-09-07 00:00:00,18.9,115.899994,29.835201,980.0,5.144001007080078,4.09914493560791,6.432415008544922,-5.138451209435096,-2.861530010516827,5.939703464508057,61.27250289916992,58.58000946044922,53.00001525878906,69.00001525878906,0.012860001996159554
2000248N17117,2000-09-07 06:00:00,18.9,115.600006,32.9216,975.0,8.230400085449219,4.712677955627441,1.7534385919570923,-5.896142812875601,-3.1576808049128604,5.18652868270874,96.36000061035156,34.742645263671875,54.00001525878906,68.00001525878906,0.01315000094473362
2000248N17117,2000-09-07 12:00:00,19.1,115.20001,32.9216,975.0,3.0863990783691406,5.199541091918945,3.963189125061035,-5.776913569523738,-2.1884495661808896,8.185957908630371,152.57241821289062,85.02984619140625,57.00001525878906,76.00001525878906,0.014690002426505089
